ability_id,code,samples,coefficient
1641293189,absolutepurity,181,0.00013091249791509415
4144301207,acid_breath,1945,-0.0015200713237028109
3014145002,advancedrepair,78,0.000125091879937629
1991142818,agilesteed,454,-0.0006741938428532695
3146823992,agility,751,-0.00496655319997499
3248709623,aimedshot,32,0.0014149825663832656
1532340742,alive,13039,0.02238301024462664
3477036370,allaroundslash,387,-0.00022107158645181356
4175406173,allslash,169,-0.00014702647059139547
412596046,amorale,253,-0.0001892155147952505
3360073780,amphibian,2389,0.020224706397996017
2450932601,arachnidjump,71,0.0026990154708507424
4087910980,armordamage10,110,-0.00028504360229400033
1706033535,armordamage20,150,0.00032423699631788403
1622145440,armordamage25,94,-7.741003980014912e-05
3799163979,armorpiercing,1785,0.029041528274686264
2697986656,armoured,3137,0.003169224189486807
1716878860,assault,2405,0.003468050975527272
4243958869,attentive,470,-0.00033383455119621945
4139836548,auraofairvul,314,-6.865531436426819e-05
778265518,auraofbravery,1160,0.00044257380719072044
1424378918,auraofdarkresistance,141,-1.4077030986144375e-05
1283175630,auraoffirevul,754,-2.3463102505805543e-05
321009311,auraofres,3258,-0.007167267552179664
774192337,auraofwatervul,314,-6.865531436426819e-05
1267294959,balefulgaze,1779,-0.001737355024205868
2328674597,battledive,765,0.0003763199444233658
562048169,battlefrenzy,990,-0.0014155223147665908
901750387,battlethirst,304,-0.0013129635487151136
174647527,bearroar,423,8.783598601917905e-05
1528801399,berserkerrage,1315,0.0001509388263455032
1405799865,big,25154,-0.031788915990414494
481590696,bindingstrike,79,-0.0007853977942391535
3229713574,bindshot,343,-0.00014426497845844286
1142836594,bladeofepiphany,181,0.00013091249791509415
2537456544,bladeofhatred,708,7.219923207782074e-05
2893263832,bladeofjudgment,338,0.001042580701848746
410342760,bladeofmercy,207,0.0009116682039336523
2395534473,bladeofslaughter,209,-2.4027564716051172e-05
3155083709,blindedbyrage,708,7.219923207782074e-05
3323157113,blinding_attack,5280,-0.009643606974013865
3995052496,blindingcharge,365,0.0006168057865276465
2105228953,bloodfrenzy,644,0.000721851229965752
1032884251,bloodlust,7567,-0.010044647461970228
2995736475,bombshooter,78,-0.00013439749679201757
3475031270,boundlesshate,341,-0.00015226165634914257
864615248,bravery,4432,0.0012005302456675703
737051599,brittle,516,-0.00035335133675976234
2451728847,burningfootsteps,220,-0.00025393320602689126
981873305,burningrage,484,0.001988051355298103
3543283432,burstofenergy,836,-0.003701948480080068
3904433841,calllightning,65,0.0002087235302521046
793609651,callofbeast,155,0.0009881328546984057
3609468151,carrier,4612,0.0002955425436944647
2782428153,caster,17782,0.009700247161224834
2673819758,chainshot,85,-0.0001633517968833086
15175742,challenge,1112,0.007558282742496826
3006188029,chameleon,176,0.00023641242429949286
1430751702,championcharge,698,-0.00045949459217986186
995521460,channeling,1015,0.0004786753450427827
3234472817,charge,750,-0.00024991862093816077
2371448693,childofthelight,2555,-0.0015701384095142608
3272193771,cleansinglight,550,-0.001160447470990245
1981509355,cleansingstrike,79,-0.0007853977942391535
3896273609,cleave,2891,-0.005369686330214095
3360041683,cleavestrike,71,-0.0005278738257585839
4268977587,commandingpresence,381,0.0006604214910449375
1179922742,concentration,112,-0.00027796053182740704
2949271329,confusionstrike,433,-8.649571116730475e-05
429466286,corpseeater,487,0.0008138357829154282
2793852128,cowardice,515,0.0002005101452922911
2637081570,crashingleap,497,-0.0009011478876965941
3580932229,cripplingtraps,1839,0.0008531967142304976
1292550398,cripplingwound,4849,-0.00851110446287173
160827735,crossfire,1695,0.0015220790241317651
624471117,cruelty,109,-4.8395937601796285e-05
422885816,crushblow,731,0.0005899892257854763
1514246415,crushingleadership,71,-0.0005278738257585839
282356714,cursingattack,3020,-0.009041076199815206
2565772863,dampenmagic,387,-0.0007887196405288346
3450007442,dancecombo,1251,-0.0036785141545956856
1052649597,darkattack,464,1.4770785426068494e-05
862729441,darkshadow,62,-3.764250382832543e-05
24764149,dash,272,-0.0009621657751703746
1138012059,deadflesh,564,-0.0001722956287824771
3298954165,deathattack,431,-0.0008911674892882643
3926577654,deathcloud,1823,0.0001220725275693945
1141059188,deathstare,2387,-0.007680847925961042
2167695767,deathstrike,223,-0.000742326191473697
2605269424,deathwail,980,0.0022723318592920306
2210396922,defender,606,0.009437985966033048
1040539733,defiledcreature,607,-0.00032083648077771155
233134182,demon_resurrection,324,-0.00043219788553167614
3781682416,demonic,1594,-0.005785655787391343
659366501,demoniclineage,2058,0.010525575787766906
1915570931,disorientingscreech,112,-2.663427152577232e-05
3307888879,divingassault,354,0.00035457025898154743
590107600,dodge,100,-0.00020391343327856907
4115105943,doubleshoot,3051,-0.0007785401905165227
3679573250,doublestrike,5253,-0.0014556792777787938
3088722968,dragoncurse,107,-5.7162444440335235e-05
2639357090,dualforms,1779,-0.001737355024205868
